MatrixSize	GaussSolverSpentTime	GaussSolverIterations	QRSolverSpentTime	QRSolverIterations
504	0.049265	43437072	0.238159	384707484
505	0.046871	43694620	0.257182	387000690
506	0.059896	43953184	0.230265	389302991
507	0.054675	44212766	0.246108	391614405
508	0.050271	44473368	0.231337	393934950
509	0.052975	44734992	0.236689	396264644
510	0.0531	44997640	0.228777	398603505
511	0.057857	45261314	0.239304	400951551
512	0.056481	45526016	0.232318	403308800
513	0.046793	45791748	0.23937	405675270
514	0.056702	46058512	0.231154	408050979
515	0.053174	46326310	0.232626	410435945
516	0.054881	46595144	0.247852	412830186
517	0.050034	46865016	0.235896	415233720
518	0.052552	47135928	0.265697	417646565
519	0.047859	47407882	0.250268	420068739
520	0.058259	47680880	0.24397	422500260
521	0.055776	47954924	0.247384	424941146
522	0.057338	48230016	0.237936	427391415
523	0.06111	48506158	0.233599	429851085
524	0.053202	48783352	0.255908	432320174
525	0.051061	49061600	0.26484	434798700
526	0.061817	49340904	0.276023	437286681
527	0.057076	49621266	0.248233	439784135
528	0.061696	49902688	0.25483	442291080
529	0.049915	50185172	0.244778	444807534
530	0.063015	50468720	0.264009	447333515
531	0.053396	50753334	0.267686	449869041
532	0.057592	51039016	0.274836	452414130
533	0.053214	51325768	0.278215	454968800
534	0.055035	51613592	0.274888	457533069
535	0.065618	51902490	0.279569	460106955
536	0.065047	52192464	0.268782	462690476
537	0.067889	52483516	0.262565	465283650
538	0.054202	52775648	0.265503	467886495
539	0.054226	53068862	0.259191	470499029
540	0.060947	53363160	0.264746	473121270
541	0.060356	53658544	0.280245	475753236
542	0.063945	53955016	0.279116	478394945
543	0.065294	54252578	0.276723	481046415
544	0.060549	54551232	0.28465	483707664
545	0.06459	54850980	0.28766	486378710
546	0.057068	55151824	0.264418	489059571
547	0.058893	55453766	0.283238	491750265
548	0.065393	55756808	0.284848	494450810
549	0.062014	56060952	0.276605	497161224
550	0.069638	56366200	0.280426	499881525
551	0.065049	56672554	0.29221	502611731
552	0.06204	56980016	0.291483	505351860
553	0.062986	57288588	0.297009	508101930
554	0.068159	57598272	0.287744	510861959
555	0.069209	57909070	0.300282	513631965
556	0.061893	58220984	0.284945	516411966
557	0.062652	58534016	0.295594	519201980
558	0.065985	58848168	0.286302	522002025
559	0.061979	59163442	0.297245	524812119
560	0.067029	59479840	0.305244	527632280
561	0.06532	59797364	0.305723	530462526
562	0.064031	60116016	0.315796	533302875
563	0.073867	60435798	0.310984	536153345
564	0.067647	60756712	0.320629	539013954
565	0.068231	61078760	0.317033	541884720
566	0.068666	61401944	0.300184	544765661
567	0.070553	61726266	0.312981	547656795
568	0.064565	62051728	0.310217	550558140
569	0.067954	62378332	0.31006	553469714
570	0.066523	62706080	0.313496	556391535
571	0.070492	63034974	0.336844	559323621
572	0.079273	63365016	0.330372	562265990
573	0.079411	63696208	0.314679	565218660
574	0.079033	64028552	0.340842	568181649
575	0.073392	64362050	0.335002	571154975
576	0.079782	64696704	0.331021	574138656
577	0.079565	65032516	0.345306	577132710
578	0.074721	65369488	0.331964	580137155
579	0.076338	65707622	0.355818	583152009
580	0.078711	66046920	0.323964	586177290
581	0.074936	66387384	0.331194	589213016
582	0.075983	66729016	0.344501	592259205
583	0.081903	67071818	0.346536	595315875
584	0.072036	67415792	0.345126	598383044
585	0.070302	67760940	0.341331	601460730
586	0.076032	68107264	0.349117	604548951
587	0.076659	68454766	0.364792	607647725
588	0.075799	68803448	0.351942	610757070
589	0.07284	69153312	0.356326	613877004
590	0.077613	69504360	0.364806	617007545
591	0.080001	69856594	0.386092	620148711
592	0.081018	70210016	0.364637	623300520
593	0.081546	70564628	0.373246	626462990
594	0.07881	70920432	0.384206	629636139
595	0.07914	71277430	0.372588	632819985
596	0.073226	71635624	0.374242	636014546
597	0.085506	71995016	0.372756	639219840
598	0.095467	72355608	0.385023	642435885
599	0.080547	72717402	0.365576	645662699
600	0.074704	73080400	0.363219	648900300
601	0.07554	73444604	0.375668	652148706
602	0.081166	73810016	0.404608	655407935
603	0.088595	74176638	0.387558	658678005
604	0.083869	74544472	0.394292	661958934
605	0.079588	74913520	0.380601	665250740
606	0.088755	75283784	0.380423	668553441
607	0.080633	75655266	0.386624	671867055
608	0.083017	76027968	0.383721	675191600
609	0.080103	76401892	0.36984	678527094
610	0.08896	76777040	0.383773	681873555
611	0.084446	77153414	0.394917	685231001
612	0.085285	77531016	0.408024	688599450
613	0.096567	77909848	0.39991	691978920
614	0.095082	78289912	0.40846	695369429
615	0.096477	78671210	0.419871	698770995
616	0.086772	79053744	0.415459	702183636
617	0.095516	79437516	0.424239	705607370
618	0.094729	79822528	0.442805	709042215
619	0.099181	80208782	0.401311	712488189
620	0.090967	80596280	0.439358	715945310
621	0.101462	80985024	0.431598	719413596
622	0.096954	81375016	0.411772	722893065
623	0.090555	81766258	0.419139	726383735
624	0.094292	82158752	0.429866	729885624
625	0.092419	82552500	0.413695	733398750
626	0.087418	82947504	0.416407	736923131
627	0.096174	83343766	0.424936	740458785
628	0.089728	83741288	0.469754	744005730
629	0.093423	84140072	0.43181	747563984
630	0.109279	84540120	0.466618	751133565
631	0.098771	84941434	0.42651	754714491
632	0.088927	85344016	0.433067	758306780
633	0.096624	85747868	0.450624	761910450
634	0.097922	86152992	0.43816	765525519
635	0.099947	86559390	0.447615	769152005
636	0.099987	86967064	0.448073	772789926
637	0.102492	87376016	0.481601	776439300
638	0.092341	87786248	0.464924	780100145
639	0.109126	88197762	0.457334	783772479
640	0.104027	88610560	0.467876	787456320
641	0.107581	89024644	0.44258	791151686
642	0.09961	89440016	0.489662	794858595
643	0.094496	89856678	0.444894	798577065
644	0.115198	90274632	0.477144	802307114
645	0.100835	90693880	0.47732	806048760
646	0.097322	91114424	0.480798	809802021
647	0.096707	91536266	0.478367	813566915
648	0.105082	91959408	0.460232	817343460
649	0.112363	92383852	0.462626	821131674
650	0.105049	92809600	0.49693	824931575
651	0.099083	93236654	0.501916	828743181
652	0.115659	93665016	0.498135	832566510
653	0.108906	94094688	0.476188	836401580
654	0.098357	94525672	0.513809	840248409
655	0.124893	94957970	0.512979	844107015
656	0.108194	95391584	0.487745	847977416
657	0.116997	95826516	0.53977	851859630
658	0.115626	96262768	0.492882	855753675
659	0.103436	96700342	0.535877	859659569
660	0.103815	97139240	0.526327	863577330
661	0.113208	97579464	0.522714	867506976
662	0.116117	98021016	0.491509	871448525
663	0.104982	98463898	0.518496	875401995
664	0.116418	98908112	0.533196	879367404
665	0.117636	99353660	0.51411	883344770
