MatrixSize	GaussSolverSpentTime	GaussSolverIterations	QRSolverSpentTime	QRSolverIterations
278	0.009831	7393688	0.034891	43163253
279	0.009068	7472922	0.033935	43630020
280	0.010414	7552720	0.041442	44100140
281	0.010172	7633084	0.031305	44573625
282	0.008874	7714016	0.036562	45050487
283	0.007948	7795518	0.037385	45530738
284	0.009261	7877592	0.041776	46014390
285	0.008818	7960240	0.041653	46501455
286	0.007897	8043464	0.041669	46991945
287	0.009764	8127266	0.042483	47485872
288	0.014695	8211648	0.040317	47983248
289	0.009881	8296612	0.037596	48484085
290	0.009666	8382160	0.046112	48988395
291	0.011724	8468294	0.039136	49496190
292	0.011022	8555016	0.042577	50007482
293	0.011749	8642328	0.041642	50522283
294	0.010125	8730232	0.047734	51040605
295	0.014052	8818730	0.03938	51562460
296	0.011406	8907824	0.041945	52087860
297	0.01069	8997516	0.04632	52616817
298	0.009251	9087808	0.039467	53149343
299	0.012353	9178702	0.050972	53685450
300	0.009356	9270200	0.039683	54225150
301	0.01084	9362304	0.04605	54768455
302	0.01074	9455016	0.042474	55315377
303	0.012834	9548338	0.049514	55865928
304	0.01161	9642272	0.04387	56420120
305	0.015337	9736820	0.044725	56977965
306	0.009919	9831984	0.042738	57539475
307	0.012902	9927766	0.042462	58104662
308	0.0125	10024168	0.046802	58673538
309	0.013951	10121192	0.045393	59246115
310	0.01174	10218840	0.044576	59822405
311	0.010863	10317114	0.04557	60402420
312	0.013129	10416016	0.046064	60986172
313	0.013337	10515548	0.045506	61573673
314	0.014317	10615712	0.046689	62164935
315	0.01017	10716510	0.047355	62759970
316	0.011986	10817944	0.055346	63358790
317	0.01072	10920016	0.052388	63961407
318	0.010694	11022728	0.056325	64567833
319	0.010659	11126082	0.051082	65178080
320	0.013222	11230080	0.053122	65792160
321	0.011027	11334724	0.053141	66410085
322	0.012941	11440016	0.061505	67031867
323	0.012323	11545958	0.060025	67657518
324	0.014542	11652552	0.057313	68287050
325	0.011353	11759800	0.051452	68920475
326	0.017186	11867704	0.057777	69557805
327	0.012255	11976266	0.062861	70199052
328	0.011861	12085488	0.062148	70844228
329	0.016672	12195372	0.067418	71493345
330	0.017104	12305920	0.056874	72146415
331	0.012245	12417134	0.062701	72803450
332	0.01463	12529016	0.065625	73464462
333	0.012121	12641568	0.063864	74129463
334	0.015669	12754792	0.06101	74798465
335	0.012352	12868690	0.058887	75471480
336	0.013517	12983264	0.06578	76148520
337	0.018659	13098516	0.061825	76829597
338	0.013154	13214448	0.067115	77514723
339	0.015537	13331062	0.070203	78203910
340	0.016091	13448360	0.068889	78897170
341	0.013097	13566344	0.058685	79594515
342	0.015469	13685016	0.064405	80295957
343	0.014008	13804378	0.060931	81001508
344	0.020005	13924432	0.068791	81711180
345	0.014789	14045180	0.073185	82424985
346	0.017273	14166624	0.061444	83142935
347	0.013903	14288766	0.069674	83865042
348	0.013934	14411608	0.067769	84591318
349	0.015053	14535152	0.061543	85321775
350	0.016036	14659400	0.07049	86056425
351	0.016501	14784354	0.062262	86795280
352	0.014608	14910016	0.070604	87538352
353	0.014382	15036388	0.07019	88285653
354	0.014463	15163472	0.066258	89037195
355	0.01737	15291270	0.076096	89792990
356	0.01612	15419784	0.078456	90553050
357	0.014812	15549016	0.07358	91317387
358	0.015041	15678968	0.073737	92086013
359	0.017422	15809642	0.075343	92858940
360	0.015949	15941040	0.071887	93636180
361	0.01701	16073164	0.083392	94417745
362	0.016008	16206016	0.071332	95203647
363	0.017018	16339598	0.084354	95993898
364	0.020961	16473912	0.084957	96788510
365	0.016304	16608960	0.082521	97587495
366	0.019629	16744744	0.07294	98390865
367	0.016031	16881266	0.074621	99198632
368	0.018201	17018528	0.07801	100010808
369	0.016143	17156532	0.072933	100827405
370	0.017279	17295280	0.079593	101648435
371	0.016688	17434774	0.083626	102473910
372	0.017886	17575016	0.078971	103303842
373	0.019743	17716008	0.0819	104138243
374	0.01723	17857752	0.085835	104977125
375	0.022493	18000250	0.083752	105820500
376	0.021823	18143504	0.087456	106668380
377	0.017706	18287516	0.084683	107520777
378	0.01764	18432288	0.083012	108377703
379	0.02261	18577822	0.07802	109239170
380	0.023823	18724120	0.092498	110105190
381	0.018057	18871184	0.086107	110975775
382	0.021016	19019016	0.08888	111850937
383	0.018931	19167618	0.086934	112730688
384	0.02497	19316992	0.087178	113615040
385	0.018568	19467140	0.087697	114504005
386	0.01885	19618064	0.09933	115397595
387	0.020854	19769766	0.092711	116295822
388	0.019571	19922248	0.091318	117198698
389	0.020602	20075512	0.096218	118106235
390	0.019718	20229560	0.09467	119018445
391	0.019759	20384394	0.094228	119935340
392	0.022667	20540016	0.097543	120856932
393	0.022382	20696428	0.100594	121783233
394	0.023462	20853632	0.093915	122714255
395	0.024794	21011630	0.086928	123650010
396	0.02627	21170424	0.097345	124590510
397	0.020749	21330016	0.095254	125535767
398	0.020476	21490408	0.10061	126485793
399	0.020349	21651602	0.092208	127440600
400	0.022538	21813600	0.095154	128400200
401	0.021397	21976404	0.101317	129364605
402	0.022433	22140016	0.093244	130333827
403	0.021055	22304438	0.105591	131307878
404	0.021102	22469672	0.099306	132286770
405	0.028269	22635720	0.102066	133270515
406	0.021549	22802584	0.098168	134259125
407	0.022416	22970266	0.107867	135252612
408	0.031352	23138768	0.111361	136250988
409	0.022018	23308092	0.110344	137254265
410	0.022071	23478240	0.111276	138262455
411	0.02733	23649214	0.11276	139275570
412	0.022571	23821016	0.114381	140293622
413	0.023426	23993648	0.110719	141316623
414	0.022785	24167112	0.111555	142344585
415	0.028983	24341410	0.114221	143377520
416	0.023495	24516544	0.122926	144415440
417	0.029671	24692516	0.118282	145458357
418	0.028653	24869328	0.109027	146506283
419	0.027236	25046982	0.10353	147559230
420	0.024069	25225480	0.120633	148617210
421	0.024094	25404824	0.120825	149680235
422	0.026728	25585016	0.122189	150748317
423	0.031694	25766058	0.118766	151821468
424	0.027527	25947952	0.122938	152899700
425	0.031886	26130700	0.11296	153983025
426	0.028877	26314304	0.123414	155071455
427	0.024772	26498766	0.123187	156165002
428	0.030612	26684088	0.124249	157263678
429	0.02826	26870272	0.140844	158367495
430	0.027649	27057320	0.124057	159476465
431	0.025429	27245234	0.157129	160590600
432	0.032032	27434016	0.119704	161709912
433	0.03628	27623668	0.139703	162834413
434	0.0304	27814192	0.11943	163964115
435	0.027806	28005590	0.127824	165099030
436	0.027628	28197864	0.122996	166239170
437	0.034466	28391016	0.118554	167384547
438	0.028105	28585048	0.1176	168535173
439	0.036348	28779962	0.133801	169691060
440	0.029176	28975760	0.128952	170852220
441	0.029993	29172444	0.141101	172018665
442	0.028065	29370016	0.127526	173190407
443	0.029254	29568478	0.132387	174367458
444	0.02839	29767832	0.129311	175549830
445	0.028387	29968080	0.136882	176737535
446	0.036063	30169224	0.159094	177930585
447	0.028845	30371266	0.127585	179128992
448	0.038282	30574208	0.146379	180332768
449	0.029712	30778052	0.136297	181541925
450	0.030971	30982800	0.133839	182756475
451	0.02984	31188454	0.142959	183976430
452	0.031641	31395016	0.146574	185201802
453	0.033746	31602488	0.146025	186432603
454	0.032246	31810872	0.138326	187668845
455	0.040229	32020170	0.154605	188910540
456	0.044669	32230384	0.162389	190157700
457	0.042457	32441516	0.157047	191410337
458	0.040142	32653568	0.15615	192668463
459	0.041208	32866542	0.15043	193932090
460	0.031178	33080440	0.169441	195201230
